2025-06-06 22:33:18 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 22:35:06 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 22:35:11 | THUMBS UP | THUMBS UP detectado
2025-06-06 22:36:00 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 22:36:05 | OK SIGN | OK SIGN detectado
2025-06-06 22:36:39 | PUNHO FECHADO | PUNHO FECHADO detectado
2025-06-06 22:36:42 | OK SIGN | OK SIGN detectado
2025-06-06 22:36:42 | OK SIGN | OK SIGN detectado
2025-06-06 22:37:08 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 22:38:19 | PUNHO FECHADO | PUNHO FECHADO detectado
2025-06-06 22:38:24 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 22:39:01 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 22:39:13 | OK SIGN | OK SIGN detectado
2025-06-06 22:39:40 | THUMBS UP | THUMBS UP detectado
2025-06-06 22:40:26 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 22:40:47 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 22:40:52 | OK SIGN | OK SIGN detectado
2025-06-06 22:41:06 | THUMBS UP | THUMBS UP detectado
2025-06-06 22:41:54 | OK SIGN | OK SIGN detectado
2025-06-06 22:43:01 | THUMBS UP | THUMBS UP detectado
2025-06-06 22:43:15 | OK SIGN | OK SIGN detectado
2025-06-06 22:43:20 | OK SIGN | OK SIGN detectado
2025-06-06 22:43:52 | OK SIGN | OK SIGN detectado
2025-06-06 22:45:08 | THUMBS UP | THUMBS UP detectado
2025-06-06 22:45:38 | OK SIGN | OK SIGN detectado
2025-06-06 22:45:43 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 22:45:48 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 22:45:53 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 22:45:53 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 22:47:21 | PUNHO FECHADO | PUNHO FECHADO detectado
2025-06-06 22:47:26 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 22:47:27 | OK SIGN | OK SIGN detectado
2025-06-06 22:47:40 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 22:48:45 | PUNHO FECHADO | PUNHO FECHADO detectado
2025-06-06 22:49:08 | OK SIGN | OK SIGN detectado
2025-06-06 22:49:10 | THUMBS UP | THUMBS UP detectado
2025-06-06 22:49:12 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 22:49:28 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 22:49:39 | OK SIGN | OK SIGN detectado
2025-06-06 22:49:40 | THUMBS UP | THUMBS UP detectado
2025-06-06 22:49:45 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 22:49:51 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 22:50:07 | THUMBS UP | THUMBS UP detectado
2025-06-06 23:00:23 | OK SIGN | OK SIGN detectado
2025-06-06 23:00:25 | THUMBS UP | THUMBS UP detectado
2025-06-06 23:00:27 | THUMBS UP | THUMBS UP detectado
2025-06-06 23:00:27 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 23:01:09 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 23:01:17 | OK SIGN | OK SIGN detectado
2025-06-06 23:01:28 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 23:01:29 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 23:01:34 | PUNHO FECHADO | PUNHO FECHADO detectado
2025-06-06 23:01:43 | OK SIGN | OK SIGN detectado
2025-06-06 23:02:19 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 23:02:28 | PUNHO FECHADO | PUNHO FECHADO detectado
2025-06-06 23:02:29 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 23:02:43 | PUNHO FECHADO | PUNHO FECHADO detectado
2025-06-06 23:03:08 | THUMBS UP | THUMBS UP detectado
2025-06-06 23:08:49 | THUMBS UP | THUMBS UP detectado
2025-06-06 23:09:44 | PUNHO FECHADO | PUNHO FECHADO detectado
2025-06-06 23:19:50 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 23:19:52 | THUMBS UP | THUMBS UP detectado
2025-06-06 23:20:00 | OK SIGN | OK SIGN detectado
2025-06-06 23:20:05 | THUMBS UP | THUMBS UP detectado
2025-06-06 23:20:10 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 23:20:15 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 23:20:37 | THUMBS UP | THUMBS UP detectado
2025-06-06 23:20:38 | PUNHO FECHADO | PUNHO FECHADO detectado
2025-06-06 23:20:48 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 23:20:53 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 23:20:58 | OK SIGN | OK SIGN detectado
2025-06-06 23:21:03 | THUMBS UP | THUMBS UP detectado
2025-06-06 23:23:13 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 23:23:18 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 23:23:52 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 23:23:57 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 23:24:02 | MÃO LEVANTADA | MÃO LEVANTADA detectado
2025-06-06 23:24:07 | MÃO LEVANTADA | MÃO LEVANTADA detectado
